com_name,com_addr,com_area,com_class,com_trade,com_size,job_name,job_exp,job_edu,job_class,job_keyword,job_pay,job_info,postdate
四川万益能源科技有限公司,武侯区来福士广场T1区16楼,成都,民营公司,"互联网/电子商务,计算机服务(系统、数据服务、维修)",50-150人,机器学习应用开发,,,仿真应用工程师,,1.8-2.2万/月,,
四川迪威消防设备制造有限公司,成都市青羊区蛟龙工业港青羊园区B-22座,成都-青羊区,民营公司,"机械/设备/重工,建筑/建材/工程",150-500人,控制算法工程师（机器人方面）,2年经验,本科,机械工程师,,0.8-1万/月,1、负责机器人控制器运动控制算法设计。 |2、负责机器人指令编译器的设计。 |任职资格：|1、熟悉机器人控制系统及设备的设计、施工规范；|2、具备良好的文字写作能力；| 3、具有良好的分析问题、解决问题的能力； |4、具有良好的英语听、说、读、写能力；|5、熟练使用AUTOCAD、OFFICE等常用软件； |6、熟练使用机器人设计软件进行设计。 |7、熟悉底层算法，编码、选型及通用语言等相关的运用。|8、熟悉电气方面的布线、设计及产品优化及检测|9、熟悉驱动和电源等方面的控制。,04-10发布
深圳市大富科技股份有限公司,成都市武侯区武兴五路28 号西部智谷A1-1 号楼10F,成都,上市公司,通信/电信/网络设备,5000-10000人,图像算法工程师,3-4年经验,硕士,算法工程师,Linux|python爬虫|C/C++,0.8-1.5万/月,,04-10发布
上海冰鉴信息科技有限公司,合作路89号龙湖时代天街17栋1816（公司未来会南迁）,成都-高新区,合资,"互联网/电子商务,金融/投资/证券",50-150人,数据科学家（机器学习方向）,,,算法工程师,,1.2-2.5万/月,,
成都国翼电子技术有限公司,高朋大道10号 航利中心2栋1单元7楼,成都-高新区,民营公司,"计算机软件,通信/电信/网络设备",50-150人,深度学习算法工程师,3-4年经验,本科,算法工程师,,1-1.5万/月,1、 负责公司在人工智能、深度学习领域的技术研究工作，追踪业界在人工智能领域的技术发展。|2、 探索人工智能技术在linux、嵌入式、驱动、硬件实现。|3、 推进人工智能技术的外部技术研究合作。|            |4、具有国际视野，负责对人工智能前沿技术追踪、研究。|任职资格：|1、本科以上学历、计算机、统计、数学、机器学习及模式识别等相关专业方向；|2、对于人工智能领域有强烈的兴趣和热情，愿意挑战新的算法、新的领域、新的可能；|3、深入掌握机器学习领域的相关技术、方法和工具，3年以上的相关领域的研究或从业经历（如深度神经元网络、计算机视觉等），熟悉Caffe、TensorFlow、Theano、Torch等主流深度学习框架；|4、熟悉Python，Cuda编程，熟悉在Ubuntu环境下开发深度学习；|5、熟悉深度神经网络的各种模型，如：卷积神经网络，递归神经网络等；能独立承担深度神经网络模型设计和实现，采用深度学习技术解决跟踪、检测、识别等问题；|6、有较强的学习和研究能力，有较深厚的数学功底及英文阅读能力。在国际一流学术期刊或会议上发表过机器学习/人工智能相关的研究成果的候选人优先。|7、良好的沟通和表达能力，具有团队协作精神。,04-10发布
郑州光力科技股份有限公司,高新西区天欣路13号,成都-高新区,上市公司,"仪器仪表/工业自动化,电子技术/半导体/集成电路",150-500人,通信算法工程师,无工作经验,本科,通信技术工程师,,6-8千/月,1.参与通信产品系统论证与设计； |2.完成无线通信物理层、MAC层方案设计； |3.完成无线通信物理层、MAC层算法开发及仿真平台搭建； |4.提供可供DSP工程师实现的通信算法； |5.配合DSP工程师完成算法实现与调试； |6.完成相关技术文档的编写与归档。 |任职要求： |1.本科以上学历，电子、通信等相关专业毕业； |2.熟悉无线数字通信的原理与架构，能独立完成相关算法模块的方案评估、参数设计及模块开发； |2.熟悉信道编译码、通信调制解调、定时同步、载波同步、符号同步等； |3.熟练使用matlab、SIMULINK等工具进行通信算法开发； |4.熟悉无线通信算法的C实现，对DSP技术有一定了解； |4.熟悉一项以上下列技术：OFDM、数字锁相环、UFMC、FBMC、FMT、扩频通信、LDPC、POLAR。,04-10发布
上海创远仪器技术股份有限公司,武侯区,成都-武侯区,上市公司,"通信/电信/网络设备,计算机软件",150-500人,算法工程师,无工作经验,本科,算法工程师,高级软件工程师,10-15万/年,岗位职责：|1、 负责大数据建模处理、图形处理、信号处理类算法的仿真和设计实现；|2、 负责算法验证和应用开发；|3、 负责编写技术规格文档、技术设计规范等开发文档。| |岗位要求：|1、 通信、电子、计算机类本科以上学历；|2、 熟练掌握C/C++语言和Matlab语言，具有相关代码开发经验；|3、 熟悉信号的数学模型及算法仿真，并能根据需要建模仿真；|4、 熟悉数字信号处理算法，通信协议处理的优先；|5、熟悉Hadoop、Spark等分布式平台开发者优先；|6、 沟通能力强，具有团队合作能力和协调沟通能力。,04-10发布
成都通甲优博科技有限责任公司,天府大道南段2039号天府菁蓉大厦6F,成都,民营公司,"计算机软件,互联网/电子商务",50-150人,机器学习算法工程师,3-4年经验,本科,算法工程师,高级软件工程师|深度学习|机器学习,1.5-3万/月,,04-10发布
音泰思计算机技术（成都）有限公司,成都市东大街紫东楼段11号东方广场A座26F,成都,合资,计算机软件,150-500人,机器学习/数据挖掘/算法工程师,无工作经验,硕士,算法工程师,,0.8-1.5万/月,,04-10发布
四川金网通电子科技有限公司,成都市高新西区百川路17号,成都-高新区,民营公司,"多元化业务集团公司,电子技术/半导体/集成电路",1000-5000人,深度学习/机器智能/算法工程师,1年经验,硕士,算法工程师,算法工程师|算法|人工智能|图像处理,0.7-1.5万/月,岗位职责：|1、研究机器学习、模式识别、机器智能相关的算法；|2、将算法应用于图像处理领域、数据分析的决策，解决实际工程问题。|任职要求：|1、硕士及以上学历，计算机、电子信息或软件等相关专业；本科学历须有3年及以上相关工作经验；|2、在统计机器学习领域（如深度神经网络、Boosting、概率统计、最优算法等）有深入的研究；|3、具有较强的算法实现能力，熟练掌握 C/C++ 编程，具有机器学习、人工智能、图像处理、神经网络相关实践经验者优先；|4、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情，具有良好的沟通能力和团队合作能力。|5、诚信、正直、有责任心。,04-10发布
